Phrase 1,Phrase 2,Cosine Similarity,Euclidean Similarity
how company compares to its peers?,Mergers among airline companies?,0.2195320874452591,0.44456810328919455
how company compares to its peers?,Which are the most profitable airports?,0.36640352807024024,0.4704340084106697
how company compares to its peers?,What has the capacity movement of airline companies been over the years?,0.5139462641509623,0.503536051930805
how company compares to its peers?,Details of the Aban Abraham oil rig?,0.22801288962364197,0.44591742694737585
how company compares to its peers?,How big is the airlines industry in China?,0.49912963799801413,0.499782597220271
how company compares to its peers?,How much money did Lloyd's of London make last year?,0.43256128721487275,0.48418970826279
how company compares to its peers?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.44124457240104675,0.48611559092895706
how company compares to its peers?,Which Lloyd's syndicates owns the maximum number of assets?,0.37234695985001154,0.4716081335150216
how company compares to its peers?,List key performance indicators for AXA?,0.28183282722039116,0.45486144567893155
how company compares to its peers?,What are the most prominent legal cases?,0.33274659514427185,0.46399221204478075
how company compares to its peers?,How does oil industry perform in Brazil?,0.5117515921592712,0.5029729494755082
how company compares to its peers?,What is the main driver of growth in automobile industry in Europe?,0.46669328212738037,0.49193961872985914
how company compares to its peers?,Which country in Europe is going to grow the most in 2020?,0.4612902723973835,0.49067997887678694
how company compares to its peers?,What are the biggest acquisitions in 2020?,0.4191767102234577,0.4812789571897595
how company compares to its peers?,How impacted is the airline industry in 2020?,0.5673744678497314,0.5180840727498389
how company compares to its peers?,What are the most prominent bankruptcies in 2020?,0.3498817563197928,0.46722876726436385
what is the detailed income statement breakdown of Axa?,world premium penetration in 2020,0.3117606918597853,0.46014368299999836
what is the detailed income statement breakdown of Axa?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.5031816367127498,0.5007979620409166
what is the detailed income statement breakdown of Axa?,what are the total losses for companies in country  non life market?,0.5705751520738106,0.5190110042713527
what is the detailed income statement breakdown of Axa?,Insurance premiums market in Country,0.30467501282691956,0.45887175835906047
what is the detailed income statement breakdown of Axa?,"How have the profit margins been for the airlines industry through the years, by regions?",0.487855880004872,0.4970002921472121
what is the detailed income statement breakdown of Axa?,What is the complete profile of the top oil rigs?,0.5666372686598266,0.5178715392615778
what is the detailed income statement breakdown of Axa?,what is company general information?,0.6142343878746033,0.5323769013657955
what is the detailed income statement breakdown of Axa?,How is the airline industry performing globally?,0.4414385259151459,0.4861589768358676
what is the detailed income statement breakdown of Axa?,how does economic profit for in country compare to others?,0.5865961662886252,0.5237549974533728
what is the detailed income statement breakdown of Axa?,most profitable insurance company India,0.36874502897262573,0.4708952215626537
what is the detailed income statement breakdown of Axa?,Give me a detailed breakup of the income and expenses in South-East Asia,0.6922585964202881,0.5603725793390281
what is the detailed income statement breakdown of Axa?,Show me all the oil rigs in the world,0.36966019091964974,0.47107596554588516
what is the detailed income statement breakdown of Axa?,What were the premiums earned by the Indian insurance industry in 2020?,0.4925300919291479,0.49814633870569486
what is the detailed income statement breakdown of Axa?,How much have premiums grown as compared to claims for India?,0.4761045560899121,0.49416476596679204
what is the detailed income statement breakdown of Axa?,Which are the best performing insurance firms in India?,0.45752155527601057,0.4898089118791481
what is the detailed income statement breakdown of Axa?,What is the ROE of the Indian market?,0.5072423522020797,0.5018238100951102
what is the detailed income statement breakdown of Axa?,What profits were clocked by Cholamandalam in 2020?,0.4348086714744568,0.48468527496731156
what is the detailed income statement breakdown of Axa?,What is the premiums market share of the top 5 companies in India?,0.5646435022354126,0.517298441282727
what is the detailed income statement breakdown of Axa?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.47541913243646305,0.4940013339660426
what is the detailed income statement breakdown of Axa?,Which are the main distribution channels in India?,0.4553490254490995,0.48930949656513645
what is the detailed income statement breakdown of Axa?,What are the risks in the motor insurance segment in India?,0.5685356767656536,0.5184195714541965
what is the detailed income statement breakdown of Axa?,What is the demand potential of India for insurance?,0.5159300277191426,0.5040472275085528
what is the detailed income statement breakdown of Axa?,How do premiums break down by lines of business in India?,0.4877831623295774,0.49698253696291506
what is the detailed income statement breakdown of Axa?,What is the share price of Qantas?,0.5746762499020259,0.5202086537891489
what is the detailed income statement breakdown of Axa?,How many passengers are carried in ?,0.36902462655452717,0.47095042168846846
what is the detailed income statement breakdown of Axa?,Which are the aircrafts manufactured by Boeing?,0.36806756258010864,0.47076158405964613
what is the detailed income statement breakdown of Axa?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.048135950305220554,0.4202110681223577
what is the detailed income statement breakdown of Axa?,Which are the top airports?,0.42114024884344703,0.4817016594763109
what is the detailed income statement breakdown of Axa?,How many fatal air accidents till date?,0.2719814803578253,0.4531728334690016
what is the detailed income statement breakdown of Axa?,What is the flow of air traffic in North America?,0.4337031841278076,0.48444125357009865
what is the detailed income statement breakdown of Axa?,What is the fleet of Airbus?,0.5051882863044739,0.501303845321802
what is the detailed income statement breakdown of Axa?,Airlines profitability Brazil?,0.15945924278850843,0.43543288510216854
what is the detailed income statement breakdown of Axa?,Mergers among airline companies?,0.18599415934051067,0.439379756819779
what is the detailed income statement breakdown of Axa?,Which are the most profitable airports?,0.452298641204834,0.48861171057038427
what is the detailed income statement breakdown of Axa?,What has the capacity movement of airline companies been over the years?,0.4740440547466278,0.4936741548885147
what is the detailed income statement breakdown of Axa?,Details of the Aban Abraham oil rig?,0.35803782093750425,0.46880042955727835
what is the detailed income statement breakdown of Axa?,How big is the airlines industry in China?,0.4320427525107242,0.48407565390199137
what is the detailed income statement breakdown of Axa?,How much money did Lloyd's of London make last year?,0.43877029996668293,0.4855637731775791
what is the detailed income statement breakdown of Axa?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.46970626531280746,0.4926476435143363
what is the detailed income statement breakdown of Axa?,Which Lloyd's syndicates owns the maximum number of assets?,0.4072630890921489,0.4787449891793668
what is the detailed income statement breakdown of Axa?,List key performance indicators for AXA?,0.42289531230926514,0.48208074600553674
what is the detailed income statement breakdown of Axa?,What are the most prominent legal cases?,0.4973848758569295,0.499347912465679
what is the detailed income statement breakdown of Axa?,How does oil industry perform in Brazil?,0.41250350549838055,0.47985314857923594
what is the detailed income statement breakdown of Axa?,What is the main driver of growth in automobile industry in Europe?,0.5186683844726324,0.5047563125241645
what is the detailed income statement breakdown of Axa?,Which country in Europe is going to grow the most in 2020?,0.49584832787513733,0.49896636152893675
what is the detailed income statement breakdown of Axa?,What are the biggest acquisitions in 2020?,0.4612232561013052,0.4906644517786613
what is the detailed income statement breakdown of Axa?,How impacted is the airline industry in 2020?,0.46540915759856527,0.49163907844163585
what is the detailed income statement breakdown of Axa?,What are the most prominent bankruptcies in 2020?,0.4797738206521388,0.49504319924386864
world premium penetration in 2020,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.7211781192879216,0.572489974132672
world premium penetration in 2020,what are the total losses for companies in country  non life market?,0.4694262882896154,0.4925817156326577
world premium penetration in 2020,Insurance premiums market in Country,0.4596533477306366,0.49030086498397957
world premium penetration in 2020,"How have the profit margins been for the airlines industry through the years, by regions?",0.44611985499738527,0.48721026361694064
world premium penetration in 2020,What is the complete profile of the top oil rigs?,0.38841562798116436,0.4748406741411104
world premium penetration in 2020,what is company general information?,0.3515376150608063,0.4675462118487398
world premium penetration in 2020,How is the airline industry performing globally?,0.3699009120464325,0.4711235347115038
world premium penetration in 2020,how does economic profit for in country compare to others?,0.3744725100538884,0.4720308245074056
world premium penetration in 2020,most profitable insurance company India,0.5144356489181519,0.50366197196629
world premium penetration in 2020,Give me a detailed breakup of the income and expenses in South-East Asia,0.3595861792564392,0.4691011257946544
world premium penetration in 2020,Show me all the oil rigs in the world,0.40925921229300555,0.47916590505297174
world premium penetration in 2020,What were the premiums earned by the Indian insurance industry in 2020?,0.48407244587376475,0.4960802858511634
world premium penetration in 2020,How much have premiums grown as compared to claims for India?,0.43740223161584846,0.48525965757543715
world premium penetration in 2020,Which are the best performing insurance firms in India?,0.43366603355604527,0.484433056613981
world premium penetration in 2020,What is the ROE of the Indian market?,0.3674648215611227,0.47064283535808793
world premium penetration in 2020,What profits were clocked by Cholamandalam in 2020?,0.41697782278060913,0.48080727582695953
world premium penetration in 2020,What is the premiums market share of the top 5 companies in India?,0.6070384383201599,0.5300756810177878
world premium penetration in 2020,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.4664029021979246,0.4918716017334344
world premium penetration in 2020,Which are the main distribution channels in India?,0.44887958314655996,0.4878342502630468
world premium penetration in 2020,What are the risks in the motor insurance segment in India?,0.5112058825019538,0.5028333124983535
world premium penetration in 2020,What is the demand potential of India for insurance?,0.48771505021199757,0.4969659312720102
world premium penetration in 2020,How do premiums break down by lines of business in India?,0.42522547470559124,0.4825858282385904
world premium penetration in 2020,What is the share price of Qantas?,0.4661284228005538,0.4918073230595187
world premium penetration in 2020,How many passengers are carried in ?,0.30468440963877486,0.4588734150376601
world premium penetration in 2020,Which are the aircrafts manufactured by Boeing?,0.3236848711967468,0.46231519686018807
world premium penetration in 2020,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.02551226207650492,0.4173523193315842
world premium penetration in 2020,Which are the top airports?,0.3399939042327973,0.4653504881443525
world premium penetration in 2020,How many fatal air accidents till date?,0.23262510293350636,0.4466578353243788
world premium penetration in 2020,What is the flow of air traffic in North America?,0.39338022470474243,0.47585702655955403
world premium penetration in 2020,What is the fleet of Airbus?,0.3314506709575653,0.4637509380214263
world premium penetration in 2020,Airlines profitability Brazil?,0.23633467365308636,0.4472567468599392
world premium penetration in 2020,Mergers among airline companies?,0.23613301623264016,0.44722412728308747
world premium penetration in 2020,Which are the most profitable airports?,0.38773414492607117,0.47470180639013915
world premium penetration in 2020,What has the capacity movement of airline companies been over the years?,0.4305971562862396,0.4837581942571661
world premium penetration in 2020,Details of the Aban Abraham oil rig?,0.17212830996895767,0.4373005104388807
world premium penetration in 2020,How big is the airlines industry in China?,0.39931808701969507,0.4770838887913204
world premium penetration in 2020,How much money did Lloyd's of London make last year?,0.2339155952829849,0.4468658637656513
world premium penetration in 2020,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.31160534356848446,0.46011564257310184
world premium penetration in 2020,Which Lloyd's syndicates owns the maximum number of assets?,0.36320752172537485,0.46980732239204426
world premium penetration in 2020,List key performance indicators for AXA?,0.25417837500572205,0.45018105218598364
world premium penetration in 2020,What are the most prominent legal cases?,0.29895687994232434,0.4578550619336719
world premium penetration in 2020,How does oil industry perform in Brazil?,0.35447246892668227,0.46811086369848526
world premium penetration in 2020,What is the main driver of growth in automobile industry in Europe?,0.4947834162349529,0.498702622969025
world premium penetration in 2020,Which country in Europe is going to grow the most in 2020?,0.5259162187576294,0.5066525948088301
world premium penetration in 2020,What are the biggest acquisitions in 2020?,0.41974162577042806,0.4814003994622112
world premium penetration in 2020,How impacted is the airline industry in 2020?,0.38999227851606255,0.47516252093625155
world premium penetration in 2020,What are the most prominent bankruptcies in 2020?,0.3678209860431567,0.4707129785936511
How does the forecasted insurance premium penetration in country trend compare to its peers?,what are the total losses for companies in country  non life market?,0.6334221740616675,0.5387219779553579
How does the forecasted insurance premium penetration in country trend compare to its peers?,Insurance premiums market in Country,0.5675288438796997,0.5181286165387415
How does the forecasted insurance premium penetration in country trend compare to its peers?,"How have the profit margins been for the airlines industry through the years, by regions?",0.6175151607412336,0.5334398948764612
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the complete profile of the top oil rigs?,0.5772182265417205,0.5209567097596476
How does the forecasted insurance premium penetration in country trend compare to its peers?,what is company general information?,0.503363311290741,0.5008436645748944
How does the forecasted insurance premium penetration in country trend compare to its peers?,How is the airline industry performing globally?,0.5961309671401978,0.5266643589624221
How does the forecasted insurance premium penetration in country trend compare to its peers?,how does economic profit for in country compare to others?,0.6888828092147606,0.5590282330446974
How does the forecasted insurance premium penetration in country trend compare to its peers?,most profitable insurance company India,0.5878037214279175,0.5241198394252694
How does the forecasted insurance premium penetration in country trend compare to its peers?,Give me a detailed breakup of the income and expenses in South-East Asia,0.5162968635559082,0.5041420125455434
How does the forecasted insurance premium penetration in country trend compare to its peers?,Show me all the oil rigs in the world,0.4689585846041797,0.4924715666423423
How does the forecasted insurance premium penetration in country trend compare to its peers?,What were the premiums earned by the Indian insurance industry in 2020?,0.6759011157662701,0.5539836897704862
How does the forecasted insurance premium penetration in country trend compare to its peers?,How much have premiums grown as compared to claims for India?,0.6841258814409913,0.5571571000733192
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the best performing insurance firms in India?,0.6346388241433407,0.5391350203004521
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the ROE of the Indian market?,0.5735711797220229,0.5198848353866924
How does the forecasted insurance premium penetration in country trend compare to its peers?,What profits were clocked by Cholamandalam in 2020?,0.525641679763794,0.5065802652010319
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the premiums market share of the top 5 companies in India?,0.7431432008743286,0.5825000111971053
How does the forecasted insurance premium penetration in country trend compare to its peers?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.7165133784123301,0.5704583689758967
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the main distribution channels in India?,0.5521618456936993,0.5137685409580826
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the risks in the motor insurance segment in India?,0.6953161980494466,0.561602126435206
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the demand potential of India for insurance?,0.6344111343867274,0.5390575883258922
How does the forecasted insurance premium penetration in country trend compare to its peers?,How do premiums break down by lines of business in India?,0.670544644659124,0.5519576544671131
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the share price of Qantas?,0.615303314644297,0.5327222585685035
How does the forecasted insurance premium penetration in country trend compare to its peers?,How many passengers are carried in ?,0.5097492045014631,0.5024613611079848
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the aircrafts manufactured by Boeing?,0.4409721791744232,0.48605472285155543
How does the forecasted insurance premium penetration in country trend compare to its peers?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.07641026088060521,0.4238887131235843
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the top airports?,0.4975145159670431,0.4993801657812459
How does the forecasted insurance premium penetration in country trend compare to its peers?,How many fatal air accidents till date?,0.4263028414610466,0.48282006339172856
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the flow of air traffic in North America?,0.524715781211853,0.5063365496673182
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the fleet of Airbus?,0.5437418818473816,0.5114416564216562
How does the forecasted insurance premium penetration in country trend compare to its peers?,Airlines profitability Brazil?,0.31092115109689,0.45999226492537376
How does the forecasted insurance premium penetration in country trend compare to its peers?,Mergers among airline companies?,0.2942077096824478,0.4570172588873417
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the most profitable airports?,0.5406306982040405,0.5105926292031973
How does the forecasted insurance premium penetration in country trend compare to its peers?,What has the capacity movement of airline companies been over the years?,0.5802744626998901,0.5218619453569644
How does the forecasted insurance premium penetration in country trend compare to its peers?,Details of the Aban Abraham oil rig?,0.2588437651898725,0.4509577588357231
How does the forecasted insurance premium penetration in country trend compare to its peers?,How big is the airlines industry in China?,0.6227205727578132,0.5351446978885995
How does the forecasted insurance premium penetration in country trend compare to its peers?,How much money did Lloyd's of London make last year?,0.5200790941833158,0.5051231844010382
How does the forecasted insurance premium penetration in country trend compare to its peers?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.5222205830943941,0.5056821368886858
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which Lloyd's syndicates owns the maximum number of assets?,0.4876187428973642,0.4969424378816621
How does the forecasted insurance premium penetration in country trend compare to its peers?,List key performance indicators for AXA?,0.40879595279693604,0.4790681030358084
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the most prominent legal cases?,0.4580172871361554,0.48992310902247627
How does the forecasted insurance premium penetration in country trend compare to its peers?,How does oil industry perform in Brazil?,0.6422807361054871,0.5417599444381099
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the main driver of growth in automobile industry in Europe?,0.6227148546406551,0.5351428202425875
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which country in Europe is going to grow the most in 2020?,0.660676121711731,0.5483054940960772
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the biggest acquisitions in 2020?,0.5626447703818794,0.5167265466701211
How does the forecasted insurance premium penetration in country trend compare to its peers?,How impacted is the airline industry in 2020?,0.6421265984849106,0.5417064874627253
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the most prominent bankruptcies in 2020?,0.5267398043429977,0.5068699066869259
what are the total losses for companies in country  non life market?,Insurance premiums market in Country,0.3963095905596269,0.476460750726851
what are the total losses for companies in country  non life market?,"How have the profit margins been for the airlines industry through the years, by regions?",0.7337739904984243,0.5781372778716938
what are the total losses for companies in country  non life market?,What is the complete profile of the top oil rigs?,0.6020169437532709,0.5284939530637134
what are the total losses for companies in country  non life market?,what is company general information?,0.5811158668329806,0.5221122765635167
what are the total losses for companies in country  non life market?,How is the airline industry performing globally?,0.584499383896627,0.5231239837456679
what are the total losses for companies in country  non life market?,how does economic profit for in country compare to others?,0.6854953765869141,0.5576930466674406
what are the total losses for companies in country  non life market?,most profitable insurance company India,0.5473752291574947,0.5124405193172805
what are the total losses for companies in country  non life market?,Give me a detailed breakup of the income and expenses in South-East Asia,0.5801900279408687,0.5218368507749024
what are the total losses for companies in country  non life market?,Show me all the oil rigs in the world,0.6013060808181763,0.5282715637946848
what are the total losses for companies in country  non life market?,What were the premiums earned by the Indian insurance industry in 2020?,0.6982082336607052,0.5627758537280628
what are the total losses for companies in country  non life market?,How much have premiums grown as compared to claims for India?,0.6124445199966431,0.5318006648991768
what are the total losses for companies in country  non life market?,Which are the best performing insurance firms in India?,0.7227647304534912,0.5731882086074835
what are the total losses for companies in country  non life market?,What is the ROE of the Indian market?,0.5476300120353699,0.512510852950411
what are the total losses for companies in country  non life market?,What profits were clocked by Cholamandalam in 2020?,0.617098950320546,0.5333045635908631
what are the total losses for companies in country  non life market?,What is the premiums market share of the top 5 companies in India?,0.7219236062810669,0.5728175699395547
what are the total losses for companies in country  non life market?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.6305063366889954,0.537737435008471
what are the total losses for companies in country  non life market?,Which are the main distribution channels in India?,0.6147849559783936,0.5325546798723205
what are the total losses for companies in country  non life market?,What are the risks in the motor insurance segment in India?,0.7282192924088032,0.5756170494497639
what are the total losses for companies in country  non life market?,What is the demand potential of India for insurance?,0.6476495862007141,0.543636428207216
what are the total losses for companies in country  non life market?,How do premiums break down by lines of business in India?,0.618130720742389,0.5336403472583988
what are the total losses for companies in country  non life market?,What is the share price of Qantas?,0.5729209780693054,0.5196946946815166
what are the total losses for companies in country  non life market?,How many passengers are carried in ?,0.5840604901313782,0.5229923029130424
what are the total losses for companies in country  non life market?,Which are the aircrafts manufactured by Boeing?,0.5641132256917233,0.5171464658794379
what are the total losses for companies in country  non life market?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.057136211544275284,0.4213688018306213
what are the total losses for companies in country  non life market?,Which are the top airports?,0.6046018004417419,0.5293057356701316
what are the total losses for companies in country  non life market?,How many fatal air accidents till date?,0.4300743001743741,0.4836436180793037
what are the total losses for companies in country  non life market?,What is the flow of air traffic in North America?,0.5249975606800589,0.5064106745419853
what are the total losses for companies in country  non life market?,What is the fleet of Airbus?,0.5373373903431073,0.5097000345912254
what are the total losses for companies in country  non life market?,Airlines profitability Brazil?,0.27293717861175537,0.4533355958839593
what are the total losses for companies in country  non life market?,Mergers among airline companies?,0.33164557814598083,0.46378721825849023
what are the total losses for companies in country  non life market?,Which are the most profitable airports?,0.6446635338864616,0.5425894049827158
what are the total losses for companies in country  non life market?,What has the capacity movement of airline companies been over the years?,0.6888095325941138,0.5589992319981875
what are the total losses for companies in country  non life market?,Details of the Aban Abraham oil rig?,0.3078353703022003,0.45943738006913626
what are the total losses for companies in country  non life market?,How big is the airlines industry in China?,0.664792299103051,0.5498163872209596
what are the total losses for companies in country  non life market?,How much money did Lloyd's of London make last year?,0.5411853678094201,0.5107435907177559
what are the total losses for companies in country  non life market?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.5565283298492432,0.5149922925582684
what are the total losses for companies in country  non life market?,Which Lloyd's syndicates owns the maximum number of assets?,0.5724731428905224,0.5195638816425365
what are the total losses for companies in country  non life market?,List key performance indicators for AXA?,0.44321489672572123,0.48655682578206977
what are the total losses for companies in country  non life market?,What are the most prominent legal cases?,0.6168437600135803,0.5332216454371839
what are the total losses for companies in country  non life market?,How does oil industry perform in Brazil?,0.5437397956848145,0.5114411107393385
what are the total losses for companies in country  non life market?,What is the main driver of growth in automobile industry in Europe?,0.6577915549278259,0.5472570273036543
what are the total losses for companies in country  non life market?,Which country in Europe is going to grow the most in 2020?,0.7081227476523682,0.5668811080762809
what are the total losses for companies in country  non life market?,What are the biggest acquisitions in 2020?,0.6750672660788082,0.5536662583552961
what are the total losses for companies in country  non life market?,How impacted is the airline industry in 2020?,0.631778359413147,0.5381659890787424
what are the total losses for companies in country  non life market?,What are the most prominent bankruptcies in 2020?,0.6752303629839036,0.5537282425095827
Insurance premiums market in Country,"How have the profit margins been for the airlines industry through the years, by regions?",0.4143853187561035,0.4802535518324799
Insurance premiums market in Country,What is the complete profile of the top oil rigs?,0.21488924324512482,0.44383593969284524
Insurance premiums market in Country,what is company general information?,0.27960106377589145,0.454476786577068
Insurance premiums market in Country,How is the airline industry performing globally?,0.33019151327711427,0.46351698356081666
Insurance premiums market in Country,how does economic profit for in country compare to others?,0.3740176633585899,0.4719402409882572
Insurance premiums market in Country,most profitable insurance company India,0.5952707415496461,0.5263991732341782
Insurance premiums market in Country,Give me a detailed breakup of the income and expenses in South-East Asia,0.36531494673312603,0.4702202004692444
Insurance premiums market in Country,Show me all the oil rigs in the world,0.27213184403587365,0.4531984180696584
Insurance premiums market in Country,What were the premiums earned by the Indian insurance industry in 2020?,0.7092960476875305,0.5673755641724377
Insurance premiums market in Country,How much have premiums grown as compared to claims for India?,0.5361111440592332,0.5093693052671029
Insurance premiums market in Country,Which are the best performing insurance firms in India?,0.5065136249951356,0.5016391041798345
Insurance premiums market in Country,What is the ROE of the Indian market?,0.3182332028011565,0.46131749833356456
Insurance premiums market in Country,What profits were clocked by Cholamandalam in 2020?,0.42833689709462264,0.4832635461403447
Insurance premiums market in Country,What is the premiums market share of the top 5 companies in India?,0.6352047163004066,0.5393275879949031
Insurance premiums market in Country,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.522683827717077,0.5058033684798385
Insurance premiums market in Country,Which are the main distribution channels in India?,0.2400683915574322,0.4478626705277162
Insurance premiums market in Country,What are the risks in the motor insurance segment in India?,0.559593141078949,0.5158583268399627
Insurance premiums market in Country,What is the demand potential of India for insurance?,0.2795835864792122,0.45447378264248356
Insurance premiums market in Country,How do premiums break down by lines of business in India?,0.5583186745643616,0.5154974792353394
Insurance premiums market in Country,What is the share price of Qantas?,0.3265863164313849,0.46284962946573655
Insurance premiums market in Country,How many passengers are carried in ?,0.20551845696458515,0.4423720115883785
Insurance premiums market in Country,Which are the aircrafts manufactured by Boeing?,0.19828387221290344,0.4412542621767197
Insurance premiums market in Country,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.01130248538836931,0.4155932689075039
Insurance premiums market in Country,Which are the top airports?,0.18570539738503744,0.4393360577736368
Insurance premiums market in Country,How many fatal air accidents till date?,0.2480028122663498,0.4491607305411389
Insurance premiums market in Country,What is the flow of air traffic in North America?,0.2114537255223139,0.443297094431978
Insurance premiums market in Country,What is the fleet of Airbus?,0.23275234010787893,0.44667833689874453
Insurance premiums market in Country,Airlines profitability Brazil?,0.3332498769015153,0.4640860601484525
Insurance premiums market in Country,Mergers among airline companies?,0.3123575858856692,0.46025143445058203
Insurance premiums market in Country,Which are the most profitable airports?,0.2776946988469742,0.4541491978794914
Insurance premiums market in Country,What has the capacity movement of airline companies been over the years?,0.30429958649878874,0.4588047231146273
Insurance premiums market in Country,Details of the Aban Abraham oil rig?,0.1729606286906824,0.4374242854043952
Insurance premiums market in Country,How big is the airlines industry in China?,0.34187773888938855,0.46570610179004607
Insurance premiums market in Country,How much money did Lloyd's of London make last year?,0.21510531649307363,0.44386992230934474
Insurance premiums market in Country,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.3663108726554596,0.4704158055432589
Insurance premiums market in Country,Which Lloyd's syndicates owns the maximum number of assets?,0.28276118636131287,0.45502181999116165
Insurance premiums market in Country,List key performance indicators for AXA?,0.22748960822944708,0.4458337206458933
Insurance premiums market in Country,What are the most prominent legal cases?,0.17730141119352538,0.43807189226760973
Insurance premiums market in Country,How does oil industry perform in Brazil?,0.288959187927295,0.45609813598351295
